1024OptimalCreate	1024OptimalRead	1024WorstCreate	1024WorstRead	2048OptimalCreate	2048OptimalRead	2048WorstCreate	2048WorstRead	4096OptimalCreate	4096OptimalRead	4096WorstCreate	4096WorstRead	8192OptimalCreate	8192OptimalRead	8192WorstCreate	8192WorstRead	16384OptimalCreate	16384OptimalRead	16384WorstCreate	16384WorstRead
0.000089	0.000081	0.001722	0.009012	0.000193	0.000208	0.006978	0.035188	0.000509	0.000432	0.031131	0.154794	0.000797	0.000966	0.110688	0.570379	0.001969	0.002067	0.444539	2.307145
0.000118	0.000099	0.002089	0.009656	0.000249	0.000208	0.007009	0.035159	0.000391	0.000448	0.0279	0.142252	0.00106	0.000973	0.110545	0.570676	0.001825	0.002079	0.442683	2.308348
0.000103	0.000098	0.001759	0.009583	0.000202	0.000212	0.006972	0.035121	0.000392	0.000463	0.027941	0.141955	0.000891	0.000977	0.110936	0.572438	0.001973	0.002069	0.444499	2.310416
0.000097	0.000094	0.001762	0.009562	0.000186	0.000212	0.006967	0.035124	0.000399	0.000477	0.027817	0.151062	0.000885	0.000977	0.111618	0.570502	0.002007	0.002079	0.721951	2.321715
0.000108	0.000103	0.001763	0.008664	0.000179	0.000211	0.006955	0.035156	0.000409	0.000451	0.027758	0.141798	0.000812	0.000991	0.110477	0.570698	0.002108	0.00209	0.448979	2.327287
0.000091	0.000082	0.00171	0.008622	0.000201	0.000211	0.00701	0.035134	0.000508	0.000458	0.027848	0.16461	0.000976	0.000979	0.110614	0.570824	0.001748	0.002078	0.448166	2.400457
0.000107	0.000097	0.001724	0.00864	0.000261	0.000211	0.007021	0.035154	0.000385	0.000445	0.053701	0.179748	0.000967	0.000981	0.110597	0.570355	0.001798	0.002081	0.445253	2.372405
0.000102	0.000078	0.001716	0.008611	0.000206	0.00021	0.006952	0.035115	0.000451	0.000462	0.053614	0.179779	0.000997	0.000981	0.110723	0.570523	0.001731	0.002092	0.446976	2.319057
0.000085	0.000083	0.001723	0.008611	0.000195	0.000209	0.006984	0.035116	0.000513	0.000468	0.053645	0.179796	0.001018	0.000981	0.11051	0.570446	0.001971	0.002076	0.448023	2.304415
0.000108	0.000088	0.001719	0.008625	0.000217	0.000211	0.006961	0.035105	0.000502	0.000468	0.053681	0.167326	0.001037	0.000966	0.11069	0.570374	0.002145	0.002093	0.44343	2.294958
